IRIS;COM;TYP_IRIS;LAB_IRIS;C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6
10010000;1001;Z;5;43.7201016831258;63.3486468714884;101.67520816276;121.22470868062
10020000;1002;Z;5;5.04052369877297;19.1153577399804;14.3700647875686;19.8671455616524
10040101;1004;H;1;30.6630108316093;106.492027791249;330.88859313206;206.571547345389
10040102;1004;H;1;88.7755423493872;106.354442991985;420.244326115432;453.554534101258
10040201;1004;H;1;89.0630414451641;178.844967195697;531.674775033348;555.694447115802
10040202;1004;H;1;123.144301614388;415.844675238323;495.482992318868;467.72005830351
10050000;1005;Z;5;116.469363540605;117.345067602851;298.646476355612;181.360975133032
10060000;1006;Z;5;0;9.91228070175439;14.8684210526316;34.6929824561403
10070000;1007;Z;5;51.2086623183048;196.233835461277;329.968841326891;315.923930662088
10080000;1008;Z;5;15.6707526328737;45.0724277042562;97.0594713561405;121.617176591028
10090000;1009;Z;5;24.840762882102;4.6311727181218;24.2680105934293;20.2420284183087
10100000;1010;Z;5;43.3859285768557;14.2514747787214;119.659542139602;143.317497828446
10110000;1011;Z;5;13.6076459556176;46.5174659754818;23.325660340859;39.2209607142571
10120000;1012;Z;5;4.40161948358963;14.6451291771891;39.1653379235596;38.1925409451603
10130000;1013;Z;5;0;10.2173913043478;5.10869565217391;15.3260869565217
10140000;1014;Z;5;76.893371793499;110.526214237305;259.25850781563;583.976260556063
10150000;1015;Z;5;5.22054165335022;83.1871894421322;56.6568481985515;76.944960971413
10160000;1016;Z;5;25.1525151226171;14.9362909113842;60.2837431243033;59.8621221100445
10170000;1017;Z;5;4.78698901375013;0;63.2504524017818;67.8327532850047
10190000;1019;Z;5;0;0;0;5
10210000;1021;Z;5;63.4840546403681;142.464347755626;161.971378006987;158.099069066545
10220000;1022;Z;5;26.4886256784134;40.6328525170297;157.978092459251;101.564723320598
10230000;1023;Z;5;0;5.06578947368421;10.1315789473684;10.1315789473684
10240000;1024;Z;5;131.621884157098;152.012899771681;450.806478506596;358.125825576284
10250000;1025;Z;5;99.9697351687753;200.68223874447;507.591210181071;469.270851388219
10260000;1026;Z;5;15.1186471308178;55.392387134596;95.7691884751601;110.482465050851
10270000;1027;Z;5;60.4887283110549;173.866446195795;797.3183404534;368.24441858755
10280000;1028;Z;5;39.8956467475452;34.7243813861397;79.2452849983196;54.6513552868574
10290000;1029;Z;5;32.9512102118264;23.3581520047522;112.853313254848;117.633227228056
10300000;1030;Z;5;49.5598881794465;85.1786663366502;107.131774420813;70.6805312043499
10310000;1031;Z;5;77.3798188217306;153.339645733993;302.231145101085;413.281129266905
10320000;1032;Z;5;97.3878119527885;199.916944532308;512.740602509633;343.49574264576
10330102;1033;H;1;71.7602634812973;93.6967828256149;440.319904700992;380.398390252795
10330103;1033;H;1;75.4121575812883;131.463305333079;297.861903538937;249.459902545547
10330201;1033;H;1;59.1900331518638;139.286411297547;276.277595135914;282.280672561017
10330202;1033;H;1;36.6102531359505;109.835916449386;336.055931878595;391.327778990753
10330301;1033;H;1;37.4620515782108;37.7756185669878;185.030033731248;220.786834840898
10330401;1033;H;Z;96.7562238342829;302.461941770111;602.710011707516;570.94044254922
10340101;1034;H;4;89.4923198239909;99.5002154779854;433.091028799723;308.511015154068
10340102;1034;H;4;69.796265887736;158.890370285065;468.518846896234;462.83509548889
10340103;1034;H;4;54.8443180638924;74.7204193613136;194.256888973727;359.690007565123
10350000;1035;Z;5;15.0029977582659;10.0012663688582;40.006166812438;19.8749077025382
10360000;1036;Z;5;54.1844650403043;104.075081780319;119.60096387135;119.592808538136
10370000;1037;Z;5;10.2552964151209;5.05887342095568;20.1717312793021;24.758720622252
10380000;1038;Z;5;39.7150981131557;39.8039135947633;50.1451179248633;74.6361741295158
10400000;1040;Z;5;10.0190552838711;10.0199744598361;59.5095626655513;64.996426563067
10410000;1041;Z;5;20.1474082898127;40.2274425952056;85.4667951923075;113.994224509343
10420000;1042;Z;5;10.0246506404074;5.44463400380391;34.87687386454;49.1057940970847
10430000;1043;Z;5;149.070284143824;685.211024266105;426.486431081768;261.303452391354
10440000;1044;Z;5;10.5380910951717;29.5479304216523;80.3951159955172;102.176001570371
10450000;1045;Z;5;5.02722141605618;35.6974893887219;35.4015974475464;10.0544428321124
10460000;1046;Z;5;49.8494720772845;28.8929591914108;137.964561525772;155.881822129952
10470000;1047;Z;5;66.1418942621858;132.30028691313;173.183605314727;127.48387038407
10490000;1049;Z;5;166.126428763053;272.090830053356;372.832389647181;216.851165908801
10500000;1050;Z;5;55.4577293142262;0;55.9036340712012;45.40361391988
10510000;1051;Z;5;9.22330097087379;4.61165048543689;9.22330097087379;4.61165048543689
10520000;1052;Z;5;37.6747308920837;29.2446152505021;41.3979769073273;11.8569129038707
10530101;1053;H;1;32.7477668994761;184.011049851815;274.372807095647;170.005781008727
10530102;1053;H;1;27.0268232651575;138.571071405576;155.654085481078;149.049027930655
10530103;1053;H;1;34.0937935412597;146.591795509873;177.384147695074;123.757804090444
10530201;1053;H;1;41.6185086582555;205.390768749974;219.08222427165;219.71439919106
10530202;1053;H;1;29.0743500755236;77.389872453587;223.753887793773;238.014428081693
10530203;1053;H;1;40.6317889229644;160.601005652274;162.205275733149;201.232515474253
10530301;1053;H;1;42.8982178061421;256.067071058365;279.314166189062;256.291383171753
10530302;1053;H;1;41.3911456160926;195.029869109815;367.829820714374;307.088035877725
10530401;1053;H;1;19.4527179049775;103.023230362121;222.092950313392;139.893377766278
