Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021;Part des ouvriers dans le nb d’emplois au LT 2021;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2021
3237;Saint-Germain-de-Salles;10.6;23.6;32.5;5.3
3238;Saint-Hilaire;13.3;14.8;46.5;0
3239;Saint-Léger-sur-Vouzance;0;5.5;39;5.3
3240;Saint-Léon;0;10.1;46.7;17.4
3241;Saint-Léopardin-d'Augy;12.8;36.9;17.5;0
3242;Saint-Loup;3.9;11.4;39.6;26.4
3243;Saint-Marcel-en-Murat;0;25.2;0;0
3244;Saint-Marcel-en-Marcillat;0;0;0;50.2
3245;Saint-Martin-des-Lais;0;25;25;0
3246;Saint-Martinien;7.6;24.4;13.4;0
3247;Saint-Menoux;4.7;27.4;30.1;10
3248;Saint-Nicolas-des-Biefs;0;0;0;32.9
3249;Saint-Palais;0;0;40.2;39.6
3250;Saint-Pierre-Laval;6.1;23;22.9;21.4
3251;Saint-Plaisir;5.1;18.8;4.8;18.8
3252;Saint-Pont;7.1;15.9;22.5;15.1
3253;Saint-Pourçain-sur-Besbre;2.6;35.4;21.8;8.1
3254;Saint-Pourçain-sur-Sioule;9.5;24.9;40.4;5.4
3255;Saint-Priest-d'Andelot;0;0;0;49.7
3256;Saint-Priest-en-Murat;0;0;33.1;0
3257;Saint-Prix;0;38.7;11.5;32.5
3258;Saint-Rémy-en-Rollat;2.4;17.2;46.1;10.6
3259;Saint-Sauvier;0;37.4;13.3;13.6
3260;Saint-Sornin;0;16.4;16.7;16.8
3261;Sainte-Thérence;0;50;50;0
3262;Saint-Victor;8.7;20.1;37;6
3263;Saint-Voir;7.1;14.2;35.8;0
3264;Saint-Yorre;8.8;16.5;39.6;6.1
3265;Saligny-sur-Roudon;6.8;24.2;34.5;17.2
3266;Sanssat;0;24.8;0;25
3267;Saulcet;0;18.7;19.4;30.1
3268;Saulzet;9.5;8.9;45.6;8.9
3269;Sauvagny;0;0;0;33.3
3270;Sazeret;0;40.1;0;19.9
3271;Serbannes;7.3;14.3;22.4;12.1
3272;Servilly;0;19.9;20.5;0
3273;Seuillet;0;26.5;32.7;16.4
3274;Sorbier;8.3;16.4;43.3;8.5
3275;Souvigny;5.6;47.8;15.6;10.8
3276;Sussat;0;0;100;0
3277;Target;0;50.3;0;16.7
3278;Taxat-Senat;0;0;33.8;0
3279;Teillet-Argenty;0;27.9;22.5;0
3280;Terjat;0;0;11.4;0
3281;Le Theil;0;20.1;0;10.1
3282;Theneuille;0;14.5;21;7.1
3283;Thiel-sur-Acolin;4.7;16.6;37.5;11.8
3284;Thionne;0;0;74.7;0
3285;Tortezais;0;50.2;0;0
3286;Toulon-sur-Allier;12.3;29.5;25.3;2.7
3287;Treban;0;15.4;23.1;7.7
3288;Treignat;41.5;0;0;20.3
3289;Treteau;14.5;9;22.7;11.7
3290;Trévol;1.8;24.6;30.9;6.8
3291;Trézelles;9.4;18.8;17.4;9
3292;Tronget;2.7;44.1;11.9;4.8
3293;Urçay;0;25.7;47.8;17.1
3294;Ussel-d'Allier;0;0;0;0
3295;Valignat;0;0;0;0
3296;Valigny;0;48.5;17.3;8.6
3297;Vallon-en-Sully;14.9;37.3;9.3;10.6
3298;Varennes-sur-Allier;9.1;24.8;33.1;6.4
3299;Varennes-sur-Tèche;0;0;0;0
3300;Vaumas;0;14.5;29.5;14.4
3301;Vaux;0;42.9;3.9;10.4
3302;Veauce;0;0;50;0
3303;Venas;0;14.1;13.8;17
3304;Vendat;12.2;41.8;13.9;2.8
3305;Verneix;0;23.7;24.4;0
3306;Le Vernet;3.3;32.2;25.1;10.1
3307;Verneuil-en-Bourbonnais;0;0;28.5;15.5
3308;Vernusse;0;0;25;0
3309;Le Veurdre;6.7;6.7;41.2;20.3
3310;Vichy;12;39.7;13.2;8.8
3311;Vicq;0;0;40.2;19.9
3312;Vieure;30.1;9.9;0;20.2
3313;Le Vilhain;9.1;31;9.8;0
3314;Villebret;5.5;14.9;15.7;42.4
3315;Villefranche-d'Allier;6;11.5;56.5;3.9
3316;Villeneuve-sur-Allier;9.4;9.6;30.5;9.3
3317;Viplaix;0;8.2;17.3;15.1
3319;Voussac;0;27.9;0;31.1
3320;Ygrande;4.7;19;30.9;12
3321;Yzeure;10.3;33.4;26.4;3.3
4001;Aiglun;6.6;28.4;41.6;8.7
4004;Allemagne-en-Provence;9.2;22.1;35.6;10.9
4005;Allons;0;0;0;25
4006;Allos;5.7;35.9;22.1;12
4007;Angles;0;0;0;75
4008;Annot;14.1;23.4;32.3;7.6
4009;Archail;0;0;100;0
4012;Aubenas-les-Alpes;0;0;13.5;14.8
4013;Aubignosc;0;30;39.2;0
4016;Authon;0;0;0;0
4017;Auzet;0;0;0;100
4018;Banon;7;35.2;18.3;14.5
4019;Barcelonnette;11.8;30.9;14.6;18.3
4020;Barles;0;27.2;0;22.8
4021;Barras;0;0;0;0
4022;Barrême;6.6;33.5;16.5;43.3
4023;Bayons;0;14.3;14.3;14.3
4024;Beaujeu;0;33.3;0;0
4025;Beauvezer;0;25.2;14.7;37.3
4026;Bellaffaire;0;0;0;0
4027;Bevons;19.4;29.3;0;12.8
4028;Beynes;5.5;0;0;24.1
4030;Blieux;0;25;0;50
4031;Bras-d'Asse;3.8;17.2;10;25.9
4032;Braux;0;0;0;100
4033;Ubaye-Serre-Ponçon;0;36.6;14;22
4034;La Brillanne;7.9;28.9;22.7;19.9
4035;Brunet;0;7.4;28.6;21.3
4036;Le Brusquet;0;30.9;8.9;30.1
4037;Le Caire;11;22.2;22.7;0
4039;Castellane;8.2;36.4;18.9;14.6
4040;Le Castellard-Mélan;0;12.6;17.8;0
4041;Le Castellet;50.7;0;49.3;0
4042;Castellet-lès-Sausses;0;43.6;14.5;0
4043;Val-de-Chalvagne;0;0;0;100
4045;Céreste-en-Luberon;4.9;21.8;13.9;22.2
4046;Le Chaffaut-Saint-Jurson;15.9;21.3;20.5;6.4
4047;Champtercier;3;31.1;22.1;9.7
4049;Château-Arnoux-Saint-Auban;11.9;25.3;23.7;7.7
4050;Châteaufort;0;0;0;0
4051;Châteauneuf-Miravail;0;16.5;0;33.5
4053;Châteauneuf-Val-Saint-Donat;0;21.3;21.6;28.5
4054;Châteauredon;0;100;0;0
4055;Chaudon-Norante;0;0;32.5;33.7
4057;Clamensane;0;33.3;0;33.3
4058;Claret;0;0;23.6;23.1
4059;Clumanc;0;5.9;35.5;0
4061;Colmars;4.1;30;13;28.3
4062;La Condamine-Châtelard;0;49;0;0
4063;Corbières-en-Provence;15.4;18.6;28.7;11.2
4065;Cruis;0;16.9;33.3;8
4066;Curbans;0;17.5;6;29.5
4067;Curel;0;0;100;0
4068;Dauphin;10.7;10.7;5.3;32
4069;Demandolx;22.6;0;21.6;0
4070;Digne-les-Bains;16.5;32.7;11.4;6.6
4072;Draix;0;32.3;0;67.7
4073;Enchastrayes;3.8;33.5;18.7;13.1
4074;Entrages;50;0;0;0
4075;Entrepierres;0;11.1;45.3;32.8
4076;Entrevaux;5.3;42;12.7;13.3
4077;Entrevennes;0;0;0;75
4079;L'Escale;4.6;15.4;18.1;4.8
4081;Esparron-de-Verdon;9.3;27;13.3;40.8
4084;Estoublon;5.9;0;0;20.1
4085;Faucon-du-Caire;0;0;0;0
4086;Faucon-de-Barcelonnette;0;45.2;22.4;11
4087;Fontienne;0;0;0;100
4088;Forcalquier;9.3;32.2;16.1;13.4
4090;Le Fugeret;0;15.8;33.2;17.2
4091;Ganagobie;50;0;0;0
4092;La Garde;0;20.3;18.8;40.6
4093;Gigors;0;0;68.2;31.8
4094;Gréoux-les-Bains;12.6;34;18.6;13.2
4095;L'Hospitalet;0;31.5;35.9;6.7
4096;Jausiers;10.1;30;18;18.1
4097;La Javie;0;60.2;8;15.9
4099;Lambruisse;0;0;100;0
4101;Lardiers;0;0;0;49.5
4102;Le Lauzet-Ubaye;5.6;32.2;18.6;16.3
4104;Limans;7.9;23;15.3;7.7
4106;Lurs;0;32.9;0;34.3
4107;Majastres;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
4108;Malijai;6;32.6;27.4;13.3
4109;Mallefougasse-Augès;0;0;65.6;0
4110;Mallemoisson;8.3;30.6;26.9;10.2
4111;Mane;11.1;27.7;31.4;6.1
4112;Manosque;16.6;28.1;19.2;7
4113;Marcoux;0;14.2;13.9;43.1
4115;Méailles;0;0;25;25
4116;Les Mées;9;20.7;33.7;14
4118;Melve;0;0;0;0
4120;Val d'Oronaye;0;25.7;11.5;36.6
4121;Mézel;11;41;0;16.1
4122;Mirabeau;11.7;22.9;23.4;33.7
4123;Mison;3.7;13.1;37.1;17.3
4124;Montagnac-Montpezat;11.4;21.5;22.7;11.4
4126;Montclar;0;39.2;15.8;7.7
4127;Montfort;10.3;0;17.4;10.7
4128;Montfuron;17.4;13.6;17.7;17.4
4129;Montjustin;0;0;100;0
4130;Montlaux;11.1;0;22.2;22.2
4132;Montsalier;24.6;0;0;49.1
4133;Moriez;14.1;0;14.5;14.5
4134;La Motte-du-Caire;9.8;27.7;16.9;11
4135;Moustiers-Sainte-Marie;13.2;15.7;17.7;28.1
4136;La Mure-Argens;0;6.6;46.8;46.6
4137;Nibles;0;50;0;0
4138;Niozelles;14;25.1;36.3;11.8
4139;Noyers-sur-Jabron;6;22.8;5.9;35.7
4140;Les Omergues;0;0;0;20.5
4141;Ongles;0;15.6;5.3;31.5
4142;Oppedette;0;0;49;0
4143;Oraison;7.6;27.3;24.3;12.1
4144;La Palud-sur-Verdon;3.7;24.6;16.8;20.4
4145;Peipin;2.9;44;9.4;21.2
4148;Peyroules;19.5;19.6;0;0
4149;Peyruis;13;17.7;33.6;10
4150;Piégut;0;10.9;21.8;0
4151;Pierrerue;3.6;14.5;14.5;19.3
4152;Pierrevert;12.8;25.5;18.4;15.7
4154;Pontis;53.7;22.7;0;23.6
4155;Prads-Haute-Bléone;0;8.7;0;35.9
4156;Puimichel;25.8;0;21.8;30.6
4157;Puimoisson;0;56.6;9.8;8.6
4158;Quinson;7.2;28.8;14.2;21.2
4159;Redortiers;0;0;32.9;0
4160;Reillanne;6.3;17.1;20;21.9
4161;Méolans-Revel;8.2;21.2;25.1;12.2
4162;Revest-des-Brousses;0;20.9;10.4;39.1
4163;Revest-du-Bion;3.1;17;45.4;3.1
4164;Revest-Saint-Martin;0;0;39.5;20.2
4166;Riez;5.6;32.9;15.7;13.3
4167;La Robine-sur-Galabre;23.5;24.7;0;27
4169;La Rochegiron;0;0;0;0
4170;La Rochette;0;100;0;0
4171;Rougon;0;22.6;20.4;22.6
4172;Roumoules;0;15.3;15.1;50.3
4173;Saint-André-les-Alpes;20.1;41.5;10.1;12.6
4174;Saint-Benoît;0;34.8;0;65.2
4175;Sainte-Croix-à-Lauze;0;0;25.1;25.1
4176;Sainte-Croix-du-Verdon;0;17.8;19.7;17.5
4177;Hautes-Duyes;0;0;0;100
4178;Saint-Étienne-les-Orgues;4.1;41.7;10.3;10.5
4179;Saint-Geniez;0;20.2;13;0
4180;Saint-Jacques;0;0;0;50
4181;Saint-Jeannet;0;34;33.3;0
4182;Saint-Julien-d'Asse;0;14;13.4;15
4183;Saint-Julien-du-Verdon;0;0;34.7;65.3
4184;Saint-Jurs;0;33.9;0;0
4186;Saint-Laurent-du-Verdon;66.7;0;0;33.3
4187;Saint-Lions;0;0;33.3;0
4188;Saint-Maime;0;18.7;19.5;42.4
4189;Saint-Martin-de-Brômes;0;22.9;23.1;30.9
4190;Saint-Martin-les-Eaux;0;0;39.1;19.6
4191;Saint-Martin-lès-Seyne;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
4192;Saint-Michel-l'Observatoire;9.3;15.9;19.1;36.5
4193;Saint-Paul-sur-Ubaye;8.1;11.4;22.2;22.2
4194;Saint-Pierre;0;24.2;0;0
4195;Saint-Pons;2.8;37.1;15;22.5
4197;Sainte-Tulle;14.6;23.2;17.9;12.8
4199;Saint-Vincent-sur-Jabron;15.8;22.9;7.7;30.6
4200;Salignac;5.7;22.5;26.8;22.4
4201;Saumane;0;0;0;33.3
4202;Sausses;0;0;50;50
4203;Selonnet;4.3;24.1;27.5;20.3
4204;Senez;0;17;17.6;17
4205;Seyne;6.6;32.3;19.5;14.1
4206;Sigonce;33.3;11.2;11.2;11.2
4207;Sigoyer;0;0;100;0
4208;Simiane-la-Rotonde;8.2;12.6;22.2;24.8
4209;Sisteron;12.9;25.9;24.1;7.5
4210;Soleilhas;0;0;0;0
4211;Sourribes;0;0;0;0
4214;Tartonne;0;57.8;0;21.1
4216;Thèze;0;0;37.3;9
4217;Thoard;0;40.5;10.1;27.7
4218;Thorame-Basse;0;10.6;0;21.7
4219;Thorame-Haute;15.8;27.3;21.3;8.9
4220;Les Thuiles;0;7;51.6;34.6
4222;Turriers;0;33.6;14.5;0
4224;Ubraye;12.5;12.5;0;12.5
4226;Uvernet-Fours;3.2;37.1;19.2;13.8
4227;Vachères;20.9;15;0;7
4228;Valavoire;0;0;0;50
4229;Valbelle;0;40.3;20.2;20
4230;Valensole;9.4;25.4;26.5;14
4231;Valernes;0;33.5;0;21.7
4233;Vaumeilh;1.8;22.9;15.1;15.2
4234;Venterol;0;38.8;0;25.9
4235;Verdaches;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
4236;Vergons;100;0;0;0
4237;Le Vernet;0;25;25;25
4240;Villars-Colmars;0;44.3;11;44.7
4241;Villemus;0;0;25;75
4242;Villeneuve;8.5;19;30.8;11.5
4244;Volonne;9.8;15.2;17.3;25
4245;Volx;11.4;25.9;23.9;15.1
5001;Abriès-Ristolas;4.6;26.8;9;27.5
5003;Aiguilles;11.2;49.8;22.5;6.7
5004;Ancelle;1.5;29.3;18.9;13.4
5006;L'Argentière-la-Bessée;10.3;24.4;21.9;15.9
5007;Arvieux;10.9;21.4;15.1;13.8
5008;Aspremont;0;33.3;0;33.2
5009;Aspres-lès-Corps;15.3;0;20.7;47.7
5010;Aspres-sur-Buëch;6.6;23;10.1;7.6
5011;Avançon;0;0;29.8;14.3
5012;Baratier;4.4;40.7;18.1;13.3
5013;Barcillonnette;0;0;38.1;21.5
5014;Barret-sur-Méouge;30;8.3;0;9.8
5016;La Bâtie-Montsaléon;20.8;0;21.3;19
5017;La Bâtie-Neuve;8.8;21.2;26.2;13.9
5018;La Bâtie-Vieille;24.6;0;25.4;25.4
5019;La Beaume;0;0;0;20
5021;Le Bersac;0;49;29.3;0
5022;Bréziers;0;0;22.7;16.7
5023;Briançon;11.9;31.2;14.2;8.1
5024;Valdoule;0;27.9;18.3;18.5
5025;Buissard;0;0;40.2;0
5026;Ceillac;11.6;29.2;11.9;28.7
5027;Cervières;0;37.4;0;0
5028;Chabestan;0;0;13.8;0
5029;Chabottes;3.6;18.3;26.3;21.9
5031;Champcella;0;37.9;0;49.7
5032;Champoléon;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
5033;Chanousse;0;0;0;0
5035;Châteauneuf-d'Oze;0;30.5;12.3;0
5036;Châteauroux-les-Alpes;15.2;18.2;9.1;24.3
5037;Châteauvieux;16.9;17;32.4;12.6
5038;Château-Ville-Vieille;10.8;32.6;10.5;29.8
5039;Aubessagne;11.3;19.1;27.3;14.1
5040;Chorges;8.8;26.2;26.1;17.9
5044;Crévoux;0;0;20.4;40.8
5045;Crots;5.2;21.6;26.8;13.9
5046;Embrun;10.8;35;12.9;11.5
5047;Éourres;10.8;10.8;0;10.8
5048;L'Épine;0;25;0;37.2
5049;Esparron;0;0;0;0
5050;Espinasses;14.7;45.1;16;3.8
5051;Étoile-Saint-Cyrice;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
5052;Eygliers;2.2;34.9;22.1;11.1
5053;Garde-Colombe;9.4;17.4;3.8;44.9
5054;La Fare-en-Champsaur;2.3;40.9;8.8;13
5055;La Faurie;0;0;17;48.5
5056;Forest-Saint-Julien;0;41.6;39.4;19
5057;Fouillouse;0;34.8;30.3;0
5058;Freissinières;0;59.1;19.9;0
5059;La Freissinouse;3.7;21.3;25.8;3.7
5060;Furmeyer;0;0;0;0
5061;Gap;13.4;32.5;15.5;7.3
5062;Le Glaizil;14.8;0;14.2;0
5063;La Grave;3.4;25.4;25;15.1
5064;La Chapelle-en-Valgaudémar;0;0;19.4;51.5
5065;Guillestre;8;36.2;16.6;10.9
5066;La Haute-Beaume;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
5068;Jarjayes;8.8;13;27;4
5070;Laragne-Montéglin;8.3;35.4;21;9.7
5071;Lardier-et-Valença;4.1;0;79.5;0
5072;Laye;0;26.6;43.5;0
5073;Lazer;15.8;0;61.5;5.6
5074;Lettret;15.8;0;58.4;0
5075;Manteyer;0;0;59.9;20
5076;Méreuil;0;0;20.7;19.8
5077;Molines-en-Queyras;9.3;9.4;30.5;37.7
5078;Monêtier-Allemont;0;43.6;25.2;0
5079;Le Monêtier-les-Bains;3.2;31.4;22.3;16.3
5080;Montbrand;0;33.3;0;33.3
5081;Montclus;0;0;0;0
5082;Mont-Dauphin;9.1;27.4;9.3;18.3
5084;Montgardin;0;15.9;18.8;16.2
5085;Montgenèvre;10.5;31.3;10.1;6.5
5086;Montjay;0;0;0;0
5087;Montmaur;0;26.3;34.1;18.6
5089;Montrond;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
5090;La Motte-en-Champsaur;0;0;0;33.3
5091;Moydans;32.4;0;32.8;0
5092;Neffes;7.5;13.6;38.6;21.7
5093;Névache;0;29;12.3;22.1
5094;Nossage-et-Bénévent;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
5095;Le Noyer;0;17.5;0;13.8
5096;Orcières;5.9;25.2;17.7;19
5097;Orpierre;12;43.4;11.7;12.6
5098;Les Orres;5.5;28.3;23.8;6.5
5099;Oze;0;0;0;50
5100;Pelleautier;9.9;10.9;12.1;28.2
5101;Vallouise-Pelvoux;7.8;26.1;17.9;13.5
5102;La Piarre;50;50;0;0
5103;Le Poët;5.9;8.8;29.9;9.6
5104;Poligny;0;32.6;0;32.3
5106;Prunières;0;11.2;0;33.5
5107;Puy-Saint-André;7.9;18.9;31.1;3.8
5108;Puy-Saint-Eusèbe;0;33.1;0;0
5109;Puy-Saint-Pierre;6.8;20.2;12.1;27.1
5110;Puy-Saint-Vincent;4.8;31.5;15.9;10.6
5111;Puy-Sanières;0;0;8.7;41.9
5112;Rabou;0;100;0;0
5113;Rambaud;0;0;0;28.9
5114;Réallon;0;12.8;24;31.6
5115;Remollon;0;24.2;40.5;11.9
5116;Réotier;0;28.6;28.5;14.2
5117;Ribeyret;0;0;23.9;50.7
5118;Val Buëch-Méouge;14.7;19.4;35.8;12.5
5119;Risoul;2.7;31.8;22.6;15.9
5121;Rochebrune;0;39.7;22.3;19.3
5122;La Roche-de-Rame;7.1;14.3;50;3.6
5123;La Roche-des-Arnauds;13.4;22.5;23.5;5.7
5124;La Rochette;6.5;9.6;25.8;23.7
5126;Rosans;5.2;27.5;22;12.5
5127;Rousset;12.8;20.6;12.8;0
5128;Saint-André-d'Embrun;0;37.7;17.7;25.3
5129;Saint-André-de-Rosans;0;0;0;16.7
5130;Saint-Apollinaire;49.8;0;24.9;25.3
5131;Saint-Auban-d'Oze;0;0;0;0
5132;Saint-Bonnet-en-Champsaur;10.2;32.3;12.2;14.2
5133;Saint-Chaffrey;9.6;25.4;23.3;14.1
5134;Saint-Clément-sur-Durance;20.2;0;19.4;20.1
5135;Sainte-Colombe;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
5136;Saint-Crépin;5.4;19.6;37.3;14.5
5139;Dévoluy;8.2;26.8;18.7;13.2
5140;Saint-Étienne-le-Laus;17.1;25.2;0;24.2
5142;Saint-Firmin;5;34.4;8;23
5144;Saint-Jacques-en-Valgodemard;0;0;0;33.9
5145;Saint-Jean-Saint-Nicolas;10.4;29.8;17.7;14.7
5146;Saint-Julien-en-Beauchêne;17.1;8.6;0;0
5147;Saint-Julien-en-Champsaur;0;20.1;25.3;20.8
5148;Saint-Laurent-du-Cros;6.7;24;25.4;7.8
5149;Saint-Léger-les-Mélèzes;9;24.4;13.8;12.3
5151;Saint-Martin-de-Queyrières;9;21.5;32.3;17.3
5152;Saint-Maurice-en-Valgodemard;25;0;0;50
5153;Saint-Michel-de-Chaillol;10.2;23.2;19.2;20.6
5154;Saint-Pierre-d'Argençon;0;26.1;0;0
5155;Saint-Pierre-Avez;50;0;0;50
5156;Saint-Sauveur;6.6;21.8;7.1;21.6
5157;Saint-Véran;0;52.9;10.5;15.7
5158;Le Saix;0;0;16.2;16
5159;Saléon;19.8;0;21;19.8
5160;Salérans;0;51.7;0;0
5161;La Salle-les-Alpes;6.8;30.1;12.3;15.9
5162;La Saulce;9.4;31.7;32.6;4.3
5163;Le Sauze-du-Lac;0;26.2;12.1;36.4
5164;Savines-le-Lac;6.3;35;10.5;17.7
5165;Savournon;0;29.3;0;27.8
5166;Serres;6.9;42.2;9.2;19.9
5167;Sigottier;0;0;20.4;0
5168;Sigoyer;12.7;22.5;10.3;28.2
5169;Sorbiers;0;0;35.8;0
5170;Tallard;8.3;32;15.7;12.5
5171;Théus;0;55.2;25.4;0
5172;Trescléoux;0;9.1;0;63.6
5173;Upaix;6.8;13.3;13.2;7.1
5174;Val-des-Prés;0;20.6;0;37
5176;Valserres;15.7;33;10.8;10.6
5177;Vars;3;20.7;22.3;12.8
5178;Ventavon;8.7;11.4;44.3;8.1
5179;Veynes;11.8;31.7;22.6;8.2
5180;Les Vigneaux;5;15.9;8.8;26.5
5181;Villar-d'Arêne;0;50.9;5.2;9.7
5182;Villar-Loubière;0;0;0;25
5183;Villar-Saint-Pancrace;5.5;18.5;32.9;18.8
5184;Vitrolles;24.2;0;31.3;6
6001;Aiglun;33.3;0;0;66.7
6002;Amirat;0;0;0;0
6003;Andon;0;32.1;28.4;11.3
6004;Antibes;18.5;29.6;13.6;11.6
6005;Ascros;0;38;11.3;0
6006;Aspremont;22.6;22.8;9.5;26.6
6007;Auribeau-sur-Siagne;10.9;28;11.7;22.1
6008;Auvare;100;0;0;0
6009;Bairols;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
6010;Le Bar-sur-Loup;22.6;14.7;28;8.6
6011;Beaulieu-sur-Mer;14.1;32.1;14.4;17.5
6012;Beausoleil;16.3;35.6;13.4;9.6
6013;Belvédère;0;13.2;0;46.9
6014;Bendejun;4.6;45.2;4.5;9
6015;Berre-les-Alpes;15.6;21.2;11.3;31.5
6016;Beuil;0;33.3;10.3;30.6
6017;Bézaudun-les-Alpes;0;25.5;21.7;29.9
6018;Biot;51.8;14.4;6.6;6
6019;Blausasc;14.5;37.6;10.1;12.2
6020;La Bollène-Vésubie;7.3;20.3;20.2;27.6
6021;Bonson;14;21.9;10.9;28.5
6022;Bouyon;8;7.5;7;54.3
6023;Breil-sur-Roya;5.4;35.2;17.8;15.8
6024;Briançonnet;0;31.6;36.8;0
6025;Le Broc;12.7;17.7;24.2;15.4
6026;Cabris;7.1;32.4;8.2;36.1
6027;Cagnes-sur-Mer;16.2;32.2;13.2;12.7
6028;Caille;0;13.4;11.3;37.3
6029;Cannes;17.4;32;13.9;12
6030;Le Cannet;12.2;32.7;16.2;14.6
6031;Cantaron;4.3;33.7;25.9;6.3
6032;Cap-d'Ail;10.2;34.8;21.1;13.4
6033;Carros;20.6;16.5;29.3;4.6
6034;Castagniers;6.6;30;30.8;15.6
6035;Castellar;13.7;29.1;15.5;13.2
6036;Castillon;30.8;8.3;21;10.2
6037;Caussols;14.5;18.5;12.3;13
6038;Châteauneuf-Grasse;12.4;27.4;26.1;11.6
6039;Châteauneuf-Villevieille;35.8;21.5;7.1;21.3
6040;Châteauneuf-d'Entraunes;0;0;0;0
6041;Cipières;6.2;18.8;6.3;50.2
6042;Clans;4.2;27.4;12;27.9
6043;Coaraze;8.1;42.3;8.5;0
6044;La Colle-sur-Loup;15.7;29.5;11.8;17.9
6045;Collongues;0;0;0;0
6046;Colomars;9.5;26;21.2;19
6047;Conségudes;0;0;100;0
6048;Contes;10.5;31;24;11.1
6049;Courmes;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
6050;Coursegoules;0;43.5;14.6;31
6051;La Croix-sur-Roudoule;33.3;66.7;0;0
6052;Cuébris;42.5;0;0;0
6053;Daluis;0;50;25;25
6054;Drap;7.6;24.2;36.2;9.4
6055;Duranus;0;0;0;0
6056;Entraunes;59.7;0;30.2;0
6057;L'Escarène;5.2;51.6;4.8;11.6
6058;Escragnolles;12.5;12.4;6.2;56
6059;Èze;10.2;38.6;16.6;13.2
6060;Falicon;16.2;19.3;9.2;31.8
6061;Les Ferres;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
6062;Fontan;8.3;58.5;26.7;0
6063;Gars;0;7.5;0;30.8
6064;Gattières;12.6;33.4;17.2;12.5
6065;La Gaude;12;27.1;18.9;16.4
6066;Gilette;13.7;17.9;16.5;15.6
6067;Gorbio;5.9;54.5;0;10.2
6068;Gourdon;4.6;30.7;24.5;21.4
6069;Grasse;15.9;29.1;17.7;10.6
6070;Gréolières;3.7;34.3;14.4;28.7
6071;Guillaumes;7;31;30.8;18.1
6072;Ilonse;0;0;0;0
6073;Isola;3.3;36.4;19.7;20.9
6074;Lantosque;4;46.6;25.1;10
6075;Levens;12.1;31.8;10;14.5
6076;Lieuche;0;50;0;50
6077;Lucéram;7.3;30.8;9.3;31.4
6078;Malaussène;22.4;22.7;22;11.1
6079;Mandelieu-la-Napoule;14.7;31.3;16.2;13.2
6080;Marie;33.3;0;0;66.7
6081;Le Mas;0;20.4;20.6;19.6
6082;Massoins;21;27.4;12.8;38.8
6083;Menton;11.8;38.7;14.6;12.5
6084;Mouans-Sartoux;17.2;23.7;19.6;11.7
6085;Mougins;24.9;24.3;15.9;10.2
6086;Moulinet;0;20;0;40
6087;Les Mujouls;0;100;0;0
6088;Nice;18.4;31.5;13.7;9.4
6089;Opio;7.2;27.1;19.8;18.3
6090;Pégomas;11.5;27.6;24.2;13.5
6091;Peille;11;35.2;11.7;20.4
6092;Peillon;13.6;20.3;39;20.3
6093;La Penne;10.6;23.6;5.9;42
6094;Péone;6.2;27;18.5;13.1
6095;Peymeinade;13.2;25;12.1;19.7
6096;Pierlas;20;0;0;0
6097;Pierrefeu;0;24.1;20.1;16.9
6098;Puget-Rostang;0;0;0;33.3
6099;Puget-Théniers;10.8;36.3;12.5;13.4
6100;Revest-les-Roches;0;66.5;0;0
6101;Rigaud;0;0;0;50
6102;Rimplas;20;0;40;40
6103;Roquebillière;12.7;29.4;16.4;8.3
6104;Roquebrune-Cap-Martin;12.4;37.4;10.4;14.4
6105;Roquefort-les-Pins;21.8;22.1;11.2;17.5
6106;Roquestéron;0;24.5;25.1;40.5
6107;La Roque-en-Provence;0;0;0;42.4
6108;La Roquette-sur-Siagne;7.6;25.3;24;21.6
6109;La Roquette-sur-Var;3.1;18.2;32;30.8
6110;Roubion;0;0;26.9;23.5
6111;Roure;0;0;47.7;0
6112;Le Rouret;22.7;29;8.2;16.9
6113;Sainte-Agnès;8.2;19.4;7.2;28.8
6114;Saint-André-de-la-Roche;10.9;26.6;23.4;10.1
6115;Saint-Antonin;29.4;23.5;0;23.5
6116;Saint-Auban;4.7;24.3;34.7;18.3
6117;Saint-Blaise;8.6;16.4;51.8;0
6118;Saint-Cézaire-sur-Siagne;11.6;24.4;17.5;20.4
6119;Saint-Dalmas-le-Selvage;0;19.5;21.9;39.1
6120;Saint-Étienne-de-Tinée;10.9;32.5;12.3;11
