Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021;Part des ouvriers dans le nb d’emplois au LT 2021;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2021
1146;Dompierre-sur-Chalaronne;0;13.9;29.7;14.2
1147;Domsure;0;50.1;20.7;19.8
1148;Dortan;8;18.2;24.9;25.3
1149;Douvres;7.6;28.3;26.3;23
1150;Drom;0;3.8;48.2;0
1151;Druillat;9.3;46.2;12.5;4.7
1152;Échallon;10.5;15.7;42.3;15.6
1153;Échenevex;11.8;35.5;16.1;2.3
1155;Évosges;0;34.6;16.7;16
1156;Faramans;5.3;10.1;38.5;15.4
1157;Fareins;6.6;16.4;34.9;18.1
1158;Farges;22.7;11;11.2;21.8
1159;Feillens;7.8;18.2;44.1;5.5
1160;Ferney-Voltaire;15.7;38.8;14.3;5.5
1162;Flaxieu;0;0;50.3;0
1163;Foissiat;2.1;16.9;29.9;29.7
1165;Francheleins;11.3;33;25.5;9
1166;Frans;12.3;20.9;28.2;15.4
1167;Garnerans;18.3;12.8;39.9;6.4
1169;Genouilleux;0;16.5;33.8;17.1
1170;Béard-Géovreissiat;4.9;19.5;52.9;5.3
1171;Géovreisset;0;22;50.6;27.4
1173;Gex;15.1;35.2;15.4;12.4
1174;Giron;5.7;16;0;32.3
1175;Gorrevod;13;10.8;46.8;13.5
1177;Grand-Corent;0;0;63.1;36.9
1179;Grièges;6.4;18.3;48.2;5.7
1180;Grilly;13.1;29.4;8.4;31.3
1181;Groissiat;8.2;13.3;46.9;4.3
1183;Guéreins;6.9;10.8;45.3;8.6
1184;Hautecourt-Romanèche;20.7;16.1;37.8;15.9
1185;Plateau d'Hauteville;10.2;40.8;17.6;6.7
1187;Haut Valromey;6.8;15.5;32.7;11
1188;Illiat;11.8;24.2;10.1;12.3
1189;Injoux-Génissiat;6.6;15.4;16.2;9.9
1190;Innimond;32.3;35.3;0;0
1191;Izenave;0;16.1;39.6;0
1192;Izernore;16.2;9.6;48.8;4.7
1193;Izieu;0;0;32;0
1194;Jassans-Riottier;11;32.2;17.5;13.5
1195;Jasseron;5.9;32.9;28.1;19.4
1196;Jayat;4.4;45.5;24.6;3.1
1197;Journans;12.4;12.4;12.4;37.7
1198;Joyeux;0;33.2;33.4;33.4
1199;Jujurieux;10.5;26.1;26.2;13.8
1200;Labalme;0;33.3;0;33.3
1202;Lagnieu;13.8;25;27.9;8.4
1203;Laiz;1.8;24.7;52.7;8.7
1204;Le Poizat-Lalleyriat;0;16.5;21.3;29.6
1206;Lantenay;50;27.6;22.4;0
1207;Lapeyrouse;8.2;5.4;41;21.2
1208;Lavours;0;100;0;0
1209;Léaz;10.4;42.9;0;21.3
1210;Lélex;10;29.5;30.7;15
1211;Lent;18.1;13.1;24.1;4.4
1212;Lescheroux;3.8;11.7;37.5;35.9
1213;Leyment;24.1;13.7;38.1;5
1214;Leyssard;100;0;0;0
1215;Surjoux-Lhopital;0;24.9;25.4;24.3
1216;Lhuis;8.5;15;50.5;6.4
1219;Lompnas;0;0;0;33
1224;Loyettes;10.5;14.1;37;11.3
1225;Lurcy;0;0;19.9;60.1
1227;Magnieu;0;17.8;23.7;26.3
1228;Maillat;9.2;23.6;42.6;3.2
1229;Malafretaz;4.1;25.7;23.7;16.7
1230;Mantenay-Montlin;0;19.6;46.2;6.8
1231;Manziat;11.4;8.6;46.7;10.1
1232;Marboz;8.2;22.7;34.9;8.5
1233;Marchamp;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
1234;Marignieu;0;0;60;30
1235;Marlieux;8.4;14.9;29.6;7.8
1236;Marsonnas;6.3;19;12.3;25
1237;Martignat;6.3;10.1;53.3;5.9
1238;Massieux;9.7;25.8;30.5;11.5
1239;Massignieu-de-Rives;6.5;6.9;20;26.8
1240;Matafelon-Granges;14.4;20;29.7;28.7
1241;Meillonnas;5;24.3;19.4;12.6
1242;Mérignat;20.7;0;17.8;0
1243;Messimy-sur-Saône;17.5;3.6;11.7;47.9
1244;Meximieux;9.2;34.9;18.2;10.3
1245;Bohas-Meyriat-Rignat;7;28.2;29.4;14.4
1246;Mézériat;6;22.5;17.6;24.6
1247;Mijoux;0;23.3;34.5;19.1
1248;Mionnay;8.5;24.9;15.8;18.2
1249;Miribel;17.8;19.5;26.5;5.7
1250;Misérieux;23.4;23.9;10.5;10.8
