GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
2A131;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;217.903
2A118;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;207.122
2A098;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1222.36
2B170;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;254.497
2A132;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;113.681
2A099;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;320.975
2A119;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;176.393
2B171;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;59
2A360;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;160
2B172;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;461.377
2B159;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;206.55
2A133;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;147.688
2B173;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;350.154
2A348;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1226.54
2A349;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;662.21
2A362;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;4267.64
2A363;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;83
2B175;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;140.506
2B176;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;103.447
2B177;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;81.9632
2B210;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;143.986
2B190;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;285.132
2B178;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;142.583
2A139;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2876.86
2B192;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;142.343
2B179;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;64.0717
2B193;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;514.064
2A154;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;250.57
2B213;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;106.847
2B194;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;59
2B214;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;41.5094
2B195;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;119.632
2B216;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;24
2B002;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;165.021
2A158;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;70.3427
2B217;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;49.7425
2B230;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;129.955
2B003;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;77.94
2B218;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;185.261
2B231;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;113.709
2B005;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;42.1056
2B199;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;513.38
2B219;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;152.314
2B233;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;252.785
