C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
1764.29;4580.6;10276.8;9705.22;127
1661.23;3160.47;7690.33;7305.87;128
2792.04;2477.67;7971.38;5845.87;129
1826.22;3135.47;7498.02;6634.39;130
3267.57;2302.78;7253.96;4198.37;131
2008.98;3279.68;7670.63;7490.9;132
1966.29;2924.44;7469.9;7379.25;133
1807.5;3281.39;7552.33;6908.98;134
1917.86;5690.89;7669.9;5142.95;135
1214.42;2723.84;7540.08;6386.41;136
2532.28;4499.53;6740.68;5205.46;137
1653.91;2516.7;7246.81;7426.52;138
3006.71;3354.13;7373.66;5342.1;139
2121.11;2903.82;8864.55;5519.11;140
2153.25;3456.27;6878.43;6296.84;141
1796.45;2396.57;6444.71;6519.59;142
2653.73;2672.59;7498.72;4808.49;143
1464.83;3517.16;5915.39;7341.14;144
1961.76;3295.13;7377.04;4947.5;145
1230.05;1991.53;7359.78;6117.75;146
1809.16;2635.43;6407.09;7343.8;147
2786.84;2584.51;6201.38;5383.14;148
1868.67;2883.55;6548.48;5409.48;149
2077.89;3140.72;5962.13;4411.34;150
1912.97;4064.67;7918.18;5968.65;151
1647.67;2926.65;5972.6;7002.37;152
2117.89;2873.11;6507.87;4236.39;153
1962.51;1815.48;5994.98;5061.33;154
1164.22;2115.63;4856.53;5685.45;155
882.227;1329.54;6122.57;6889.14;156
1441.15;2626.54;5650.96;6873.92;157
1359.64;4010.21;6144.75;6843.21;158
1816.5;2727.55;5856.98;5345.28;159
1185.49;2423.33;7269.39;5886.54;160
1652.3;2505.44;5850.07;6744.54;161
1685.82;2074.93;6591.32;6028.27;162
1893.17;2383.65;5342.48;8964.23;163
1291.6;2023.41;6229.11;5522.92;164
1966.13;2427.46;6249.2;4568.2;165
2552.22;1528.65;5225.85;2826.5;166
1877.21;2752.84;6226.38;6242.58;167
1598.31;2220.67;4406.43;8065.81;168
1355.42;2711.3;5823.99;7975.66;169
1152.12;2173.2;6340.82;6304.1;170
1242.42;1664.37;5090.14;6404.46;171
