C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
149.765;136.698;614.371;673.245;642
95.2282;119.906;502.492;682.636;643
78.4741;108.275;369.582;606.491;644
264.733;204.235;545.839;399.785;645
94.4203;234.032;509.215;504.095;646
75.1204;114.778;355.402;729.69;647
135.62;178.988;391.91;581.655;648
161.882;343.368;430.348;553.743;649
83.5946;236.042;568.802;422.614;650
75.3614;185.935;578.373;451.943;651
119.402;184.579;428.44;494.533;652
104.684;85.7036;417.166;508.345;653
104.833;105.228;492.283;235.619;654
109.99;195.361;531.33;420.586;655
133.192;178.289;322.707;476.573;656
59.891;157.796;427.221;468.359;657
90.3816;59.9758;416.799;621.682;658
55.6367;130.399;440.887;385.663;659
76.4935;91.3174;1031.92;400.774;660
119.914;135.549;449.342;435.11;661
35.4525;161.684;445.447;569.045;662
115.285;130.843;440.129;401.609;663
149.106;166.938;475.45;460.408;664
116.555;68.2164;425.767;304.761;665
139.686;114.213;363.73;620.05;666
75.3086;175.155;295.981;510.691;667
105.235;89.367;364.505;209.782;668
103.251;111.121;331.595;453.071;669
64.5219;94.038;318.196;461.257;670
134.916;178.63;353.052;328.31;671
83.4953;84.6866;329.957;369.979;672
50.482;186.386;358.201;438.418;673
30.4527;105.825;350.848;232.959;674
213.845;275.051;290.255;152.801;675
60.2081;65.0244;294.194;422.596;676
150.784;150.478;295.464;265.686;677
44.4931;49.4294;181.29;415.954;678
90.6191;74.3042;269.376;122.829;679
21.1651;58.2761;200.139;159.505;680
163.725;94.4077;329.065;84.767;681
39.6574;99.0797;237.976;119.155;682
